d833,mm,1 mm,
d834,mm,2.5 mm,
d835,mm,2.2 mm,
d836,mm,3 mm,
d837,mm,6.2831517338 mm,
d839,mm,3 mm,
d840,mm,11.4198435425 mm,
d842,mm,3 mm,
d843,mm,12.4948932796 mm,
d844,mm,3.8568216341 mm,
d845,mm,3 mm,
d846,mm,12.5355966181 mm,
d847,mm,4.7520779368 mm,
d1032,mm,Rotary_Encoder_Hole,
d1034,mm,3.1 mm,
d1035,mm,4 mm,
d1036,mm,1.7 mm,
d1037,mm,1.1 mm,
d1038,mm,1 mm,
d749,mm,0.00 mm,
d750,deg,0.0 °,
d751,mm,-0.2 mm,
d752,deg,0.0 °,
d832,mm,0.00 mm,
d871,mm,M3_Bolt_Shaft_Diameter_Loose,
d872,deg,45 °,
d873,mm,8.6 mm,
d758,mm,-10 mm + Lid_Thickness - Lid_bolt_head_countersink,
d759,deg,0.0 °,
d799,mm,M3_Hex_Nut_Diameter_Loose,
d800,mm,-M3_Hex_Nut_Height_w_Clearance,
d801,deg,0.0 °,
d802,deg,0.0 °,
d803,mm,0.00 mm,
d804,mm,0.00 mm,
d805,mm,0.00 mm,
d892,mm,10.5999999988 mm,
d894,mm,d895 + Uno_USB_Hole_Clearance * 2,
d895,mm,11.9999999969 mm,
d969,mm,3.1 mm,
d1000,mm,22 mm,
d830,mm,0.00 mm,
d831,deg,0.0 °,
d854,mm,0.00 mm,
d855,mm,-2.65 mm,
d856,deg,0.0 °,
d857,mm,0.00 mm,
d858,mm,-1.25 mm,
d859,deg,0.0 °,
d890,,1,
d891,mm,4 mm,
d1141,mm,PowerButtonHole,
d1143,mm,Power_Jack_Hole,
d1144,mm,0.00 mm,
d1145,deg,0.0 °,
d1146,mm,4 mm,
d1148,mm,4 mm,
d1149,mm,4 mm,
d1150,mm,4 mm,
d1151,mm,10.6 mm,
d1152,mm,7.7 mm,
d1153,mm,5 mm,
d1154,mm,5 mm,
d1155,mm,11.9 mm,
d1186,mm,1.8 mm,
d1156,mm,-0.7 mm,
d1157,deg,0.0 °,
d1159,mm,4 mm,
d1160,mm,7 mm,
d1161,mm,4.1 mm,
d1166,mm,2.8 mm,
d1167,mm,1.4 mm,
d1168,mm,1.38 mm,
d1169,mm,2.8 mm,
d1170,mm,13 mm,
d1171,mm,0.00 mm,
d1172,deg,0.0 °,
d1177,mm,3 mm,
d1178,mm,3 mm,
d1179,mm,3 mm,
d1180,mm,11.58 mm,
d1181,mm,14.5 mm,
d1182,mm,16.3 mm,
d1183,mm,-1 mm,
d1184,deg,0.0 °,
d1188,mm,6.1 mm,
d1189,deg,0.0 °,
d1197,deg,90.0 °,
d1198,mm,0.00 mm,
d1199,mm,0.00 mm,
d1200,mm,0.00 mm,
d1201,deg,90.0 °,
d1202,mm,0.00 mm,
d1203,mm,0.00 mm,
d1204,mm,0.00 mm,
d1205,deg,90.0 °,
d1206,mm,0.00 mm,
d1207,mm,0.00 mm,
d1208,mm,0.00 mm,
d1209,deg,90.0 °,
d1210,mm,0.00 mm,
d1211,mm,0.00 mm,
d1212,mm,0.00 mm,
d1213,mm,-0.2 mm,
d1214,deg,0.0 °,
d1215,mm,-0.2 mm,
d1216,deg,0.0 °,
d1217,deg,30 °,
d1218,mm,0.00 mm,
d1219,deg,0.0 °,
d1223,mm,0.00 mm,
d1224,deg,0.0 °,
d1225,mm,M3_Bolt_Head_Diameter_Loose,
d1226,mm,0.00 mm,
d1227,deg,0.0 °,
d898,mm,Lid_Thickness,
d899,deg,0.0 °,
d900,mm,M3_Bolt_Head_Diameter_Loose,
d901,mm,-Lid_bolt_head_countersink,
d902,deg,0.0 °,
d905,mm,M3_Bolt_Shaft_Diameter_Loose,
d906,mm,0.00 mm,
d907,deg,0.0 °,
d908,deg,90.0 °,
d909,mm,0.00 mm,
d910,mm,0.00 mm,
d911,mm,0.00 mm,
d912,deg,90.0 °,
d913,mm,0.00 mm,
d914,mm,0.00 mm,
d915,mm,0.00 mm,
d916,deg,90.0 °,
d917,mm,0.00 mm,
d918,mm,0.00 mm,
d919,mm,0.00 mm,
d920,deg,90.0 °,
d921,mm,0.00 mm,
d922,mm,0.00 mm,
d923,mm,0.00 mm,
d925,mm,Lid_lip_clearance,
d926,mm,10 mm,
d927,mm,3 mm,
d928,mm,d926,
d929,mm,2 mm,
d930,deg,0.0 °,
d931,mm,25.8 mm,
d932,mm,17.2 mm,
d1284,mm,15 mm,
d1285,mm,d1284,
d933,mm,0.00 mm,
d934,deg,0.0 °,
d936,mm,5 mm,
d937,mm,0.001 mm,
d939,deg,0.0 °,
d966,mm,-1.65 mm,
d940,mm,M2_Bolt_Shaft_Diameter_Loose,
d942,mm,21 mm,
d959,mm,21.3 mm,
